candle_size,weekday,target
0.0190162271805273,4,1
0.0207910750507099,4,1
0.0268762677484787,4,0
0.0180020283975659,4,0
0.0081135902636916,0,0
0.0357505070993914,0,0
0.0205375253549695,2,1
0.0555273833671399,2,0
0.0144523326572008,2,0
0.1511156186612576,2,0
0.050709939148073,3,0
0.0235801217038539,3,1
0.0316937119675456,4,0
0.1252535496957403,4,0
0.0136916835699797,4,0
0.0527383367139959,1,1
0.0218052738336713,1,0
0.0420892494929006,1,0
0.0050709939148073,1,1
0.0469066937119675,1,0
0.0263691683569979,2,0
0.0253549695740365,2,0
0.0441176470588235,2,0
0.0202839756592292,3,0
0.0225659229208924,3,0
0.043103448275862,4,1
0.0600912778904665,4,0
0.0086206896551724,0,0
0.0114097363083164,0,0
0.015973630831643,0,0
0.0481744421906693,1,0
0.0116632860040567,1,1
0.0053245436105476,1,0
0.0045638945233265,2,0
0.0212981744421906,2,0
0.0294117647058823,2,0
0.1239858012170385,2,1
0.2710446247464503,2,0
0.0420892494929006,2,0
0.0491886409736308,3,1
0.0342292089249492,3,0
0.0476673427991886,4,1
0.0618661257606491,4,1
0.0557809330628803,4,1
0.0283975659229208,0,0
0.0884888438133874,0,0
0.0322008113590263,0,0
