candle_size,gap_size,percentage,weekday,entry_weekday,volume,target
0.21741041987249946,0.10047974413646071,0.2405753048491884,3,4,0.18005954448009703,1
0.14508683227082877,0.15698294243070726,0.16140256444623566,4,4,0.08456149611294003,1
0.12936909210815564,0.03971215351812416,0.14665944415910492,0,0,0.07655123557111304,1
0.08430424269070125,0.02158848614072969,0.09618855500655589,1,0,0.05344186541836248,1
0.0965047263134755,0.08475479744136684,0.10969290773752396,1,4,0.06736490209424326,1
0.0629808749175643,0.030117270788909623,0.07153214012903414,1,2,0.02391039620693327,1
0.09870301165091229,0.03278251599147191,0.11058002833368094,2,2,0.029577771295486013,1
0.151791602550011,0.0354477611940342,0.16823355296306997,2,2,0.07141633444921355,1
0.157287315893603,0.007196162046907876,0.1744731573512168,3,3,0.06084093845063967,1
0.09881292591778412,0.025053304904052786,0.10970946713121266,3,3,0.10869877253175164,1
