candle_size,gap_size,percentage,weekday,target
0.03872966692486445,0.023346303501953675,0.0887497337789276,1,1
0.04034927117808606,0.035538261997408865,0.09232604727388112,1,1
0.0372508978240969,0.0072632944228385515,0.0851228166002277,3,1
0.13928596577705799,0.05784695201038223,0.313241391572679,4,1
0.03781423843391311,0.018936446173806538,0.08536630031213364,1,1
0.0753468065629181,0.054993514915702604,0.16875366276791592,1,1
0.0691500598549398,0.04539559014268344,0.1546895668885266,1,1
0.07661432293500457,0.025162127107658885,0.16952335860762735,2,1
0.10083796915710162,0.08767833981842595,0.22210317205319724,2,1
0.10985141891416099,0.11413748378729695,0.24287204539955204,3,1
0.11407647348778256,0.10557717250325219,0.2555632184372193,3,1
0.09914794732765299,0.16290531776913542,0.24192690342870987,0,1
0.10414759523977185,0.004150453955903528,0.25884903392089703,4,1
