candle_size,gap_size,percentage,weekday,entry_weekday,entry_session,target
0.0774344687856147,0.0649312231918337,0.1547700909282345,0,3,2,1
0.1182094466253007,0.0563526105605672,0.2373626426843229,0,2,1,0
0.0881347347093833,0.0668540156781539,0.1783625499599764,0,1,1,1
0.0267190072179308,0.039639106641027,0.0541985704151788,3,3,2,1
0.086171964036976,0.0800177488537144,0.1728512533179045,0,1,3,0
0.0451437254653666,0.0093181482029234,0.0907775096331511,2,2,2,1
0.0384956312523743,0.0244046738648075,0.0799808380483613,0,0,3,1
0.0458401924781562,0.0050288418872935,0.0958384180197961,1,4,3,0
0.0888945169051538,0.0149386185475486,0.1847064196663506,1,4,2,1
0.0871850069646701,0.1147759207217833,0.1832319694625009,1,2,0,1
0.0348866658224642,0.0150865256618807,0.0752556636735357,2,3,3,0
0.0707230593896416,0.0130158260612318,0.1514902106643751,4,1,2,1
0.0732556667088767,0.0088744268599306,0.1584308898586028,0,0,1,0
0.0280486260605293,0.0220381600354945,0.0595186547391136,0,0,1,1
0.0488793212612384,0.0078390770596028,0.1023017047711607,1,1,2,0
0.0107635811067493,0.0079869841739348,0.0225266033101149,4,4,1,1
0.0958591870330505,0.0383079426120385,0.1899711211877432,0,0,1,1
0.0624287704191465,0.0066558201449462,0.1238916217401564,1,4,0,0
0.1139040141826009,0.035941428782722,0.226737965124987,1,4,0,0
0.1066227681397999,0.0659665729921581,0.2136793199265804,1,4,0,0
0.0675573002405977,0.0674456441354788,0.1294814801405312,1,1,2,1
0.0889578320881347,0.0474781837006332,0.163807372620578,3,3,3,1
0.0921869064201595,0.038160035497703,0.1701265073101675,0,1,1,1
0.1456882360390021,0.0532465611595905,0.2729861665014191,1,4,2,0
0.1147904267443332,0.0721786717941116,0.2169031753048703,3,4,3,1
0.1403064454856274,0.0925898535719534,0.2673572753145011,3,3,2,1
0.1208686843104976,0.0476260908149653,0.2307723094775173,2,3,2,0
0.0915537545903507,0.048513533500961,0.1755310055705929,2,3,1,1
0.048562745346334,0.0388995710693667,0.0917724003356109,4,2,2,1
0.046979865771812,0.0476260908149653,0.0897147110311671,0,0,1,1
0.057426870963657,0.0170093181482009,0.1076564561241373,3,4,3,1
0.1503735595795871,0.1900606419168751,0.28220378900874,4,2,0,1
0.0804735975686969,0.0241088596361467,0.1519538520437849,0,0,0,1
0.0913638090414081,0.0560567963319031,0.1719179141916598,4,4,0,1
0.0231733569710016,0.024700488093475,0.0415696412216214,4,4,1,1
0.0542611118146131,0.0238130454074792,0.1016018831627707,0,0,1,1
0.0704064834747372,0.0644875018488375,0.1332833022200692,2,4,1,1
0.0723692541471444,0.0,0.1375691959536253,2,4,1,1
0.0488160060782575,0.002366513829313,0.0931838284232911,0,0,1,1
0.0198809674559959,0.0057683774589539,0.0371194535089845,1,4,1,1
0.0535646448018234,0.0366809643543824,0.1028796541968615,1,2,0,1
0.031847537039382,0.0245525809791429,0.0614371761446284,3,3,2,0
0.0440673673546916,0.0020706996006489,0.0827026635347367,4,2,3,1
0.0607825756616436,0.0057683774589539,0.1159418533930481,2,2,1,1
0.0574901861466379,0.0073953557166066,0.1083018463958711,1,2,0,1
0.0331771558819805,0.0078390770596028,0.0627553484728712,3,3,2,1
0.0680638217044447,0.0609377311048646,0.1305751106038326,4,0,3,1
0.2377485120931999,0.2011536754917867,0.4686404089352885,1,2,1,0
0.2495884513106242,0.2632746635113146,0.5003359667935103,1,2,0,1
0.0143092313536786,0.0176009466055258,0.0297750031248271,3,3,1,1
0.0899075598328479,0.0569442390178955,0.1840767281096094,3,4,3,0
0.0385589464353551,0.0378642212690422,0.0785140215265079,2,3,0,0
0.0368494364948714,0.0050288418872935,0.0750241627867912,4,4,2,0
0.0150690135494491,0.0167135039195368,0.0307414237261128,0,0,2,1
0.1083322780802836,0.043336784499332,0.212948850480432,3,3,2,0
0.0878814739774597,0.0743972785090926,0.1726966035725414,0,2,0,1
0.2108395593263264,0.2854607306611446,0.4211799622899661,2,3,3,1
0.1872863112574395,0.0757284425380845,0.3741165619862852,3,2,0,1
0.1808914777763707,0.0918503180002897,0.3645006077561605,3,4,0,1
0.2441433455742687,0.3131193610412609,0.5076126261193203,4,2,3,1
0.1031404330758515,0.0323916580387457,0.218401357591585,3,1,3,1
0.1231480308978092,0.0088744268599272,0.260913321162358,4,1,3,1
0.0686336583512726,0.00621209880195,0.1479230282519343,4,4,1,1
0.1834240850956059,0.2072178671794081,0.3951049766349744,2,0,0,1
0.1664556160567303,0.2508504659074077,0.3775361121913449,3,3,0,1
0.0911105483094846,0.0504363259872779,0.2111480330468227,3,4,2,1
0.1032037482588324,0.0374204999260427,0.2393296754115754,3,4,1,0
0.0481828542484487,0.0054725632302897,0.1152948929596294,1,2,3,1
0.0245029758136001,0.00621209880195,0.061548403148673,2,2,3,0
0.0674306698746359,0.0405265493270194,0.1552120469428124,4,1,3,0
0.054830948461441,0.0532465611595905,0.1275977601330191,1,1,2,0
0.0568570343168291,0.0440763200709923,0.1251421734508541,4,4,1,0
0.0938964163606432,0.1084159148055012,0.2022636261163628,3,3,1,1
0.0176649360516651,0.0062120988019467,0.0402526328738039,1,1,2,1
0.0300113967329365,0.0291377015234403,0.0670606648052048,2,2,1,1
0.0431809547929593,0.0025144209436417,0.0957529720361709,3,0,2,1
0.0667342028618462,0.0448158556426527,0.1465471440892469,3,0,3,1
0.064771432189439,0.0034018636296374,0.1428576221679363,3,4,3,1
0.0258959098391794,0.0032539565153054,0.0600998832769423,4,4,1,1
0.0637583892617449,0.0118325691465719,0.1383586659801696,2,2,3,0
0.1151703178422185,0.017157225262533,0.2414225541602936,4,4,2,0
0.0561605673040395,0.0412660848986797,0.119459697421023,0,0,3,0
0.0340635684437128,0.0099097766602517,0.0721875126900803,4,2,1,1
0.0150690135494491,0.0223339742641586,0.033363131211406,1,1,2,0
0.0259592250221603,0.0088744268599306,0.0561508041708715,1,1,2,0
0.074711915917437,0.0653749445348265,0.1541707651470078,2,2,3,1
0.0476130176016208,0.0152344327762161,0.0994053445185299,3,1,2,1
