candle_size,gap_size,percentage,weekday,volume,target
0.0536060019361084,0.0259910737726495,0.093158263067644,1,0.0680096402200735,1
0.0110116166505324,0.0110265161459777,0.0228422163746779,2,0.0171680413262023,1
0.0121006776379477,0.0068259385665585,0.024539421537241,2,0.0216232824757314,1
0.031461761858664,0.0194276713048103,0.0564073480001677,2,0.0382632240967094,1
0.0378751210067763,0.0005250721974326,0.0669419170805526,2,0.0746060856289667,1
0.0744191674733785,0.0480441060645871,0.1266201042281758,2,0.066262110286422,1
0.0695788964181994,0.0404305592018946,0.118573333799645,2,0.0724744831824248,1
0.0349709583736689,0.0364925177211946,0.0620226553123847,3,0.0333759013701786,1
0.0216602129719264,0.0086636912575518,0.0404855767873922,4,0.0268274650253967,1
0.0153678606001936,0.0036755053819985,0.0300398670168226,4,0.0306009774645453,1
