candle_size,gap_size,percentage,entry_weekday,volume,target
0.0363249546923016,0.0357929515418613,0.0665086578318495,3,0.075984229880602,1
0.0437317784256559,0.0148678414096968,0.0784598013927122,4,0.0686653031871758,0
0.1770546056260342,0.0685572687224731,0.3153401727094605,4,0.0990018718091264,0
0.1075565361279647,0.0008259911894328,0.1916384120819712,0,0.1016591267270881,1
0.0936096446300528,0.0297356828193873,0.1662055221855344,1,0.140788607975845,1
0.0640611456937987,0.0052312775330473,0.1153601745352369,3,0.0679512615585488,1
0.0416042865022456,0.0159691629956051,0.0755779786540471,3,0.0530379921149403,0
0.0631155937278386,0.090859030837009,0.1118789928262298,4,0.0488659488848199,1
0.0798991411236309,0.2075991189427418,0.1442557786242692,0,0.0358499900544201,0
0.126861555432984,0.0107378854625577,0.2300241816852374,2,0.1008073770700831,0
