candle_size,gap_size,percentage,weekday,entry_weekday,target
0.02768955126638977,0.0034675913577043387,0.06016097786975205,3,3,1
0.024676276569753235,0.0168044811949942,0.053690198353350274,3,3,0
0.021174362733121586,0.009602560682852096,0.04612307517783734,3,3,1
0.030865705676358005,0.014670578821023699,0.06705007775859899,3,3,1
0.018405407606482606,0.02133902373967469,0.039497101625539495,4,4,0
0.012541737926541249,0.01573753000801198,0.02707559101321437,4,4,1
0.021581562016450846,0.0002667377967516201,0.046414234601726084,4,4,1
0.01775388875315579,0.017071218991739755,0.03826677247481895,4,4,0
0.02451339685642153,0.0010669511869882834,0.05275689088941922,4,4,0
0.016287971333170455,0.009069085089367053,0.03516841486093618,4,4,1
0.05871813665607948,0.03387570018672183,0.12557510383184453,4,4,1
0.04723511686619431,0.005868231528414332,0.10116490779599942,4,4,0
