open,high,low,close,tick_volume,date,time_only,noisy_day
3296.22,3305.02,3287.51,3295.77,17244,2025-05-30,08:00:00,False
3295.54,3306.73,3282.82,3304.09,16769,2025-05-30,12:00:00,False
3303.96,3308.24,3271.82,3293.52,21174,2025-05-30,16:00:00,False
3293.32,3295.71,3288.72,3288.72,12927,2025-05-30,20:00:00,False
3298.35,3316.57,3295.92,3311.35,9993,2025-06-02,00:00:00,True
3311.33,3318.21,3301.45,3313.88,13667,2025-06-02,04:00:00,True
3313.94,3358.82,3313.87,3352.09,15844,2025-06-02,08:00:00,True
3352.13,3363.64,3344.47,3355.44,16035,2025-06-02,12:00:00,True
3355.6,3379.19,3350.26,3371.53,18961,2025-06-02,16:00:00,True
3371.4,3382.92,3370.81,3381.6,13454,2025-06-02,20:00:00,True
3382.82,3392.24,3373.82,3375.89,9012,2025-06-03,00:00:00,False
3375.9,3377.95,3359.29,3362.74,15777,2025-06-03,04:00:00,False
3362.78,3367.67,3351.24,3361.15,15695,2025-06-03,08:00:00,False
3360.95,3362.99,3349.08,3359.37,14664,2025-06-03,12:00:00,False
3359.61,3363.13,3333.2,3348.44,17405,2025-06-03,16:00:00,False
3348.37,3355.48,3347.4,3353.3,10882,2025-06-03,20:00:00,False
3354.69,3361.61,3349.84,3350.26,8107,2025-06-04,00:00:00,False
3350.27,3372.62,3346.56,3354.8,16978,2025-06-04,04:00:00,False
3354.81,3365.28,3348.03,3362.76,17793,2025-06-04,08:00:00,False
3362.82,3364.95,3343.8,3358.83,17514,2025-06-04,12:00:00,False
3358.92,3384.65,3350.85,3375.06,20195,2025-06-04,16:00:00,False
3374.98,3382.15,3370.74,3372.6,11877,2025-06-04,20:00:00,False
3373.4,3381.67,3372.39,3380.3,7176,2025-06-05,00:00:00,False
3380.22,3384.1,3364.17,3368.4,14656,2025-06-05,04:00:00,False
3368.48,3376.9,3361.2,3375.21,15065,2025-06-05,08:00:00,False
3375.23,3403.33,3374.09,3383.06,19143,2025-06-05,12:00:00,False
3383.58,3388.27,3339.61,3354.21,22348,2025-06-05,16:00:00,False
3354.31,3361.38,3348.94,3352.6,14126,2025-06-05,20:00:00,False
3354.03,3364.02,3353.16,3359.38,8469,2025-06-06,00:00:00,False
3358.99,3374.46,3356.22,3373.71,15174,2025-06-06,04:00:00,False
3373.65,3375.6,3352.84,3365.31,17296,2025-06-06,08:00:00,False
