candle_size,noisy_day,percentage,day_of_week,session,lowest_of_day,lowest_of_week,volume,success
6.11,False,0.0035080466897474323,3,Tokyo,True,False,4759,True
8.38,False,0.004870309130957847,3,New York,False,False,6430,False
3.03,False,0.0017822585863101364,1,New York,True,False,590,False
3.12,False,0.0018042921334019582,2,New York,False,False,883,False
11.96,False,0.006790130465884704,4,London,True,False,8806,False
1.34,False,0.0007574943894538692,3,Sydney,False,False,506,False
12.59,False,0.00710147952190516,3,London,True,False,8491,False
3.38,False,0.0018743310911601445,4,Sydney,True,False,1069,False
5.65,False,0.003136397195561304,4,Tokyo,True,False,1948,False
5.08,False,0.0028182766349333158,1,Sydney,True,False,2204,False
2.99,False,0.0016529839400724218,2,Sydney,True,False,1320,False
8.51,False,0.0045878484015310795,2,Tokyo,False,False,6047,False
6.54,False,0.003492060101878451,3,Sydney,True,False,5736,False
9.01,False,0.004643635745172113,0,London,False,False,8627,False
13.27,False,0.006761955718617035,2,New York,True,False,1888,False
36.73,True,0.019084782574808917,2,Sydney,True,False,7357,False
17.43,True,0.008941487888208317,0,Sydney,True,False,3548,False
19.86,False,0.010265263506109536,4,London,True,False,8623,False
10.68,False,0.005517811474774612,1,Tokyo,True,False,7376,True
3.94,False,0.0020422338098545554,2,Sydney,False,False,2064,True
7.67,False,0.003933333333333333,4,London,False,False,6553,False
7.41,False,0.0038996510838503924,2,Sydney,True,False,5106,True
13.23,False,0.007045403712815926,2,London,True,False,15229,False
4.61,False,0.002469453238412051,2,New York,True,False,8039,False
12.09,False,0.00647809290088893,4,Tokyo,True,False,8461,False
3.35,False,0.0017501057899768568,0,New York,False,False,4181,False
5.15,False,0.0026799188218764635,1,Sydney,True,False,4370,False
4.52,False,0.002374460887060764,4,New York,False,False,2484,False
2.38,False,0.0012501444494636986,4,New York,False,False,1071,True
4.45,False,0.0023655490997623817,2,New York,False,False,4993,False
5.32,False,0.002738358117533213,4,Sydney,True,False,4775,False
18.91,False,0.009646531890689643,4,London,False,False,13365,False
10.8,False,0.005747676980553693,1,Tokyo,False,False,7502,False
6.56,False,0.0034983494829802096,0,Tokyo,True,False,3795,True
27.16,False,0.014538447126836709,0,London,True,False,9365,False
14.2,False,0.007776645965454167,1,Tokyo,True,False,6434,False
19.45,False,0.010461207476132849,2,London,True,False,9885,False
16.59,False,0.009006563553548065,2,New York,True,False,6949,False
