noisy_day,highest_of_day,highest_of_week,total_volume,session,day_of_week,maximum_movement
False,True,False,3702,Sydney,1,4.13
False,False,False,4133,Tokyo,1,5.2
False,False,False,4403,Tokyo,2,9.87
False,False,False,2033,New York,3,23.0
False,True,False,2096,New York,1,4.3
False,False,False,4300,Tokyo,3,5.93
False,True,False,5142,Tokyo,3,105.1
False,False,False,3412,New York,2,10.56
True,False,False,3740,Tokyo,1,10.46
False,True,False,1488,New York,2,15.44
False,False,False,3730,London,2,24.92
False,True,False,1555,Sydney,3,7.05
False,False,False,1659,New York,0,9.6
False,False,False,3251,London,2,153.92
False,False,False,3186,Tokyo,3,4.97
False,False,False,3842,New York,2,2.6
False,False,False,1365,New York,3,5.85
False,False,False,3150,Tokyo,4,13.81
False,False,False,1933,New York,0,4.28
False,True,False,3857,Tokyo,2,4.13
False,False,False,3088,London,1,9.42
False,False,False,1944,Sydney,1,4.94
False,False,False,2042,New York,2,6.4
False,False,False,3177,New York,3,11.97
False,False,False,2198,New York,0,15.82
False,False,False,1310,New York,2,18.84
False,False,False,971,New York,0,1.69
False,False,False,3309,London,2,11.38
False,True,False,2947,Sydney,3,3.85
False,False,False,1145,New York,3,2.11
False,True,False,4010,London,4,1052.79
False,False,False,4122,New York,3,8.06
False,False,False,4145,New York,1,3.5
False,True,False,3464,New York,2,16.68
False,False,False,3263,Sydney,2,21.24
False,True,False,2341,New York,2,8.23
False,True,False,4112,New York,2,663.17
False,False,False,2788,Sydney,3,11.97
False,False,False,4166,New York,1,79.08
True,False,False,5277,Sydney,4,13.54
True,False,False,5741,New York,4,165.16
True,False,False,4417,Tokyo,3,27.24
True,False,False,4921,London,3,45.77
True,True,False,4732,New York,2,96.22
