candle_size,noisy_day,percentage,day_of_week,session,highest_of_day,highest_of_week,volume,success
6.61,False,0.0036665187486132687,3,London,False,False,12970,False
4.36,False,0.0024249570348782237,0,London,False,False,7429,False
5.2,False,0.0029229904440697023,1,Tokyo,True,False,6384,False
2.07,False,0.0011533896841272404,4,Tokyo,False,False,4135,False
2.76,False,0.0015353548839305083,4,New York,False,False,1321,False
4.11,False,0.0022599056448154137,3,Sydney,True,False,2780,False
3.32,False,0.0018249780123131046,4,Sydney,True,False,3013,False
7.8,False,0.004276222012675161,4,London,False,False,7358,True
5.3,False,0.002881468352778714,1,London,False,False,6656,True
6.34,False,0.003437134059070998,2,Sydney,True,False,5708,True
11.11,False,0.005977585399841817,2,Tokyo,True,True,7520,False
4.05,False,0.002178555483235881,3,Sydney,True,False,4952,False
19.49,False,0.0104606664984945,4,London,True,False,18430,False
5.25,False,0.002793296089385475,0,Sydney,True,True,5284,False
13.19,False,0.006897309055921019,4,London,True,True,14136,False
6.33,False,0.003300467696607244,0,Tokyo,False,False,5258,False
6.72,False,0.0035132295048542167,1,Tokyo,False,False,5192,False
6.7,False,0.0034659176146209997,4,Tokyo,False,False,6826,False
5.24,False,0.0027115135834411387,0,Sydney,True,True,4489,False
4.96,False,0.002562234930080948,1,Sydney,True,True,3034,True
6.1,False,0.0031442812740009175,1,Tokyo,True,True,3306,False
3.01,False,0.0015628407356254996,4,Tokyo,False,False,6509,False
6.24,False,0.0032318377451716657,0,Tokyo,False,False,6354,False
13.87,False,0.007222754540909848,1,London,False,False,15873,False
3.68,False,0.0019642170886886717,1,Sydney,True,False,5159,True
5.0,False,0.002717420841530886,2,Tokyo,True,False,4795,False
6.2,False,0.0033889596440499162,2,Sydney,True,False,4664,True
3.7,False,0.002020544017824475,2,Sydney,True,False,3354,True
1.96,False,0.0010790574763268003,2,New York,False,False,4151,False
6.47,False,0.003459893048128342,4,New York,True,False,9788,True
10.65,True,0.0056463327996267585,0,Tokyo,False,False,11394,True
13.57,False,0.007105381659004514,2,Tokyo,True,False,15443,True
12.87,True,0.006473289507436486,4,New York,True,True,4730,False
14.22,False,0.0071506874113707,0,Sydney,True,True,5870,False
13.7,False,0.00690151984564776,3,London,True,False,14128,True
9.55,False,0.004787111391821308,4,Tokyo,True,False,9115,False
6.29,False,0.00318461663088825,1,New York,True,False,6342,False
6.52,False,0.003305399664390402,0,Tokyo,True,True,5226,True
9.85,False,0.00494172774842843,1,London,True,True,10660,True
10.1,False,0.0049698365366636155,2,London,True,True,13279,False
7.0,False,0.003503415830434674,1,Sydney,True,False,6041,True
3.44,False,0.0017042527050057468,3,Sydney,True,False,2446,True
10.83,False,0.005468343692722508,2,London,False,False,11394,True
6.12,False,0.0030653950953678476,2,London,False,False,6650,False
3.37,False,0.0017013757415120536,4,New York,False,False,5681,True
4.98,False,0.0024952900148314428,1,Tokyo,False,False,5214,False
18.4,False,0.009225416021138235,1,London,False,False,13154,False
9.7,False,0.004850824640188832,1,New York,False,False,10133,False
8.17,False,0.004115329981967097,0,Tokyo,False,False,3871,True
4.27,False,0.0021469909444246115,0,Tokyo,False,False,3770,False
17.07,False,0.008512272233137523,0,London,True,True,13040,False
3.04,False,0.0015332781891177598,0,New York,False,False,2680,True
4.09,False,0.002026387629621923,1,New York,False,False,7779,False
4.17,False,0.0020487172180680153,3,Sydney,True,False,3813,False
9.66,False,0.004777164559966768,3,London,False,False,17809,False
1.37,False,0.0006794522721975075,0,New York,False,False,1083,False
5.88,False,0.002966580561834033,2,London,True,False,5183,False
2.53,False,0.0013006374665844127,1,Sydney,True,False,5504,False
7.1,False,0.0036094292526447965,3,Tokyo,False,False,4828,False
2.2,False,0.0011120659151796998,3,New York,False,False,3231,False
2.21,False,0.0011268151411323217,1,Sydney,False,False,3064,False
5.97,False,0.0030432943023617387,2,Tokyo,False,False,4321,False
3.17,False,0.0016135764387299066,2,Tokyo,False,False,4049,False
12.13,False,0.006156797856033459,2,London,True,True,10514,False
13.82,False,0.007050804567207127,3,London,True,False,12423,False
20.18,False,0.010329806456896861,3,London,True,False,16538,False
4.38,False,0.0022352184696408342,4,New York,False,False,4875,False
11.04,False,0.005721037248927305,4,London,True,False,11295,False
6.8,False,0.0035248136513959297,0,Tokyo,True,True,6514,False
1.31,False,0.0006806361610042241,1,New York,True,False,919,False
10.42,False,0.00542126676586579,0,London,True,True,9500,False
4.16,False,0.002158191269701277,1,Tokyo,True,False,4659,False
6.13,False,0.0031797739403779416,2,Tokyo,True,False,6147,False
7.7,False,0.004000187021730886,3,Tokyo,True,False,5143,False
4.06,False,0.002071978279951824,2,London,True,True,10031,False
7.63,False,0.0038869473963056168,3,Tokyo,True,True,8298,False
12.58,False,0.00634203640873366,1,London,True,True,22461,False
3.91,False,0.0019763345312650057,2,Tokyo,False,False,4053,False
6.3,False,0.0031733399150753795,3,Sydney,True,True,9205,False
7.56,False,0.0038515424000815143,1,Sydney,True,False,7182,False
5.81,False,0.0029372658655328785,3,Sydney,True,False,6117,False
4.61,False,0.0023822442704699897,1,Tokyo,False,False,4947,False
8.32,False,0.004394838178043769,0,Sydney,True,True,5679,False
3.08,False,0.0016194417132431424,2,Sydney,True,False,4220,True
15.99,False,0.00833263851252762,2,London,True,True,23385,False
2.86,False,0.0014908645450517372,2,London,False,False,8121,False
14.19,False,0.007333560730565288,1,London,True,True,31540,False
7.02,False,0.003607752041566237,2,London,True,True,19168,False
2.99,False,0.0015575674859089632,3,Sydney,True,False,3442,False
8.71,False,0.004515480165066462,4,London,True,False,13014,False
3.86,False,0.0020179419083666173,3,Sydney,True,False,2547,False
2.89,False,0.0015137705982798538,3,Tokyo,False,False,4041,False
1.28,False,0.0006703185060276297,3,New York,False,False,2818,True
1.5,False,0.0007793381860124382,0,Sydney,True,True,2024,True
4.34,False,0.0022431027175654583,1,Tokyo,True,True,4314,False
2.66,False,0.0013769470082461528,2,Tokyo,False,False,2746,True
5.02,False,0.0025786964740692033,2,London,True,True,5156,False
3.07,False,0.0016832616896218966,2,Sydney,False,False,2556,False
6.26,False,0.0034325632913127634,2,New York,False,False,4772,False
1.16,False,0.0006365162805500378,3,New York,True,False,979,False
2.54,False,0.0013893675095860887,3,Sydney,True,False,5355,False
7.38,False,0.003983848678528243,0,London,False,False,12135,True
6.5,False,0.003488078819848778,0,New York,True,True,5538,False
5.75,False,0.0030778618762646,2,Tokyo,True,True,12959,True
4.32,False,0.0022355504266692887,4,New York,True,True,1830,False
5.3,False,0.002765400148183706,0,Tokyo,False,False,6545,True
1.15,False,0.0005989396164703186,0,New York,False,False,1100,False
13.96,False,0.006990520733704225,4,New York,True,True,13261,False
5.89,False,0.002970321995007438,2,Tokyo,False,False,6405,False
6.11,False,0.0031018062564092154,1,New York,False,False,8884,False
2.61,False,0.001326907238507763,2,Sydney,True,False,3677,True
4.5,False,0.0022874454825493325,3,Tokyo,True,False,3752,False
2.39,False,0.0011992332935261473,3,London,False,False,870,False
10.16,False,0.004979000965416526,1,London,True,True,6384,True
2.76,False,0.0013528947536113956,2,Tokyo,False,False,2966,False
4.11,False,0.002009072600355865,3,Tokyo,False,False,3022,False
7.7,True,0.00379024675983126,0,New York,False,False,2468,True
3.62,False,0.0018133365392321874,0,Tokyo,False,False,2357,False
11.84,False,0.005848733186127043,2,New York,True,True,6295,True
12.5,True,0.006146674403280849,0,London,True,True,18439,False
9.32,False,0.0045152851121554195,1,Sydney,True,True,7905,False
2.15,False,0.0010417019957072188,1,Tokyo,False,False,4989,False
7.17,False,0.0034660285693568268,1,New York,True,True,14793,False
2.65,True,0.001295963928188927,3,Sydney,True,False,6161,True
1.9,True,0.000935817683013924,1,New York,False,False,1430,False
6.95,True,0.0034140925882260474,4,New York,True,False,7001,False
8.27,True,0.004041657910555716,4,Tokyo,True,False,21455,True
4.38,True,0.0021757380371663746,3,Tokyo,True,False,13895,False
9.85,True,0.004834450737683194,0,London,True,True,21871,False
3.94,True,0.001931590326360325,4,New York,False,False,3450,False
1.5,False,0.0007373181281950452,3,New York,False,False,1144,False
1.64,False,0.0008225210269475943,3,New York,True,False,1297,False
3.3,False,0.0016453190672536633,4,Sydney,True,False,2277,False
6.94,False,0.003429887466084146,4,Tokyo,False,False,7119,True
8.47,False,0.004154914032032573,4,London,True,True,12610,False
7.17,False,0.003521351570365641,2,London,True,False,12948,False
2.56,False,0.0012570154720927835,3,Sydney,True,False,2595,False
18.64,False,0.00909823062843197,3,London,True,True,16806,False
9.34,False,0.004544658323439538,4,Tokyo,True,True,10520,True
24.34,False,0.011752549443757726,4,London,True,True,19013,False
13.02,False,0.006253392056943329,4,London,True,True,13172,False
7.13,False,0.003343289740836432,2,Tokyo,True,False,5740,True
2.7,False,0.0012363769575968494,1,New York,False,False,2598,False
5.54,False,0.0025604998983194986,2,Tokyo,True,False,2291,True
3.94,False,0.0018253585856713983,0,Tokyo,True,True,2083,True
5.7,False,0.0025392695813323597,0,New York,False,False,2165,True
5.25,False,0.002280160002084718,3,Sydney,False,False,3139,False
7.69,False,0.003352120903023883,3,New York,False,False,3781,False
4.02,False,0.0017226897958484031,2,New York,False,False,1645,True
8.49,False,0.0036295235448774127,3,Tokyo,False,False,4414,True
3.19,True,0.0013420277660917122,4,Sydney,False,False,2147,True
12.69,True,0.005306581582941995,4,Sydney,True,True,7786,False
7.8,False,0.003309263391910124,0,Tokyo,False,False,3552,False
