candle_size,noisy_day,percentage,day_of_week,session,lowest_of_day,lowest_of_week,volume,success
1.11,False,0.0006164680269690878,4,Sydney,False,False,289,True
1.22,False,0.0006788979594108056,4,Sydney,False,False,546,False
1.47,False,0.000818740810052132,4,London,False,False,811,True
1.28,False,0.0007179596484241347,4,New York,False,False,1022,False
1.57,False,0.0008784297927577101,0,Sydney,False,False,684,True
1.68,False,0.0009406231628453851,0,Sydney,False,False,470,False
1.37,False,0.0007641635198375735,0,New York,False,False,778,False
0.94,False,0.0005243838489774515,1,New York,True,False,189,False
2.13,False,0.0011920418613761649,2,Sydney,False,False,851,True
2.28,False,0.0012769031737764412,2,Sydney,False,False,550,True
2.12,False,0.0011894609273306702,2,Tokyo,False,False,717,False
1.31,False,0.0007381778839651986,3,New York,False,False,185,False
2.69,False,0.001515783304971093,3,Tokyo,False,False,1108,False
2.46,False,0.0013856032443393038,3,Tokyo,False,False,971,False
1.63,False,0.0009086702753326681,3,New York,False,False,384,True
1.14,False,0.0006352992315108418,4,Sydney,False,False,402,False
2.16,False,0.0012024115030700461,4,Tokyo,False,False,1178,True
2.7,False,0.0014785284808393662,1,Sydney,False,False,1279,False
0.95,False,0.0005184004889335138,1,New York,False,False,173,True
2.34,False,0.0012772995485783218,2,New York,True,False,528,False
4.7,False,0.002532409452891796,2,London,False,False,2557,False
1.9,False,0.001026544273773955,2,New York,False,False,162,False
0.59,False,0.00031909312651772046,3,New York,True,False,249,False
0.73,False,0.00039334863621178325,4,Sydney,True,False,379,False
1.98,False,0.0010649627263045792,0,Sydney,False,False,414,False
2.04,False,0.0010939276291799833,0,Tokyo,False,False,793,True
2.98,False,0.0015982580060390555,0,London,False,False,710,False
2.55,False,0.001365666605970373,0,New York,False,False,886,True
1.22,False,0.0006545872076490124,1,New York,True,False,248,False
2.18,False,0.0011689697515671167,1,Sydney,False,False,1032,False
2.06,False,0.0011034394099277407,1,Sydney,False,False,348,False
4.51,False,0.0024196706887209007,1,London,False,False,2398,False
1.23,False,0.0006623122775465368,2,Tokyo,False,False,753,False
4.46,False,0.0023896270895842264,2,London,False,False,1264,False
1.53,False,0.0008203577403165616,2,London,False,False,1025,False
1.88,False,0.001006785088870205,2,London,False,False,1081,False
1.23,False,0.0006584511943126947,2,New York,False,False,781,True
0.61,False,0.00032666613114841887,3,New York,False,False,116,False
4.18,False,0.002240626088820991,3,London,False,False,1717,False
0.44,False,0.00023666220235694037,4,New York,True,False,100,False
1.61,False,0.0008662107851313036,4,Tokyo,True,False,777,False
13.41,False,0.007222452617802457,4,London,True,True,2815,False
1.5,False,0.0008107231650632364,4,New York,False,False,1203,True
2.84,False,0.0015353509141825337,4,New York,False,False,979,True
0.78,False,0.0004224093579919309,0,Sydney,False,False,293,False
0.82,False,0.0004541552435545955,0,New York,False,False,274,False
3.46,False,0.0019101036755694426,1,Sydney,False,False,835,False
2.32,False,0.0012830368154141388,1,Tokyo,True,False,1028,False
3.57,False,0.0019984885380804436,1,London,True,True,2007,False
2.1,False,0.0011737351606340405,2,London,False,False,1346,True
2.59,False,0.0014432587556769106,3,Tokyo,False,False,762,False
2.77,False,0.0015466997224874504,3,London,False,False,1038,False
1.58,False,0.0008826470473221719,3,London,False,False,430,False
2.32,False,0.0012930337805075157,4,Sydney,False,False,823,False
6.42,False,0.003549981752430244,1,London,False,False,2147,True
2.91,False,0.0016382275616305714,2,New York,True,False,700,False
2.34,False,0.0013115048116533366,2,New York,False,False,2138,True
3.37,False,0.0018899881104605515,2,New York,False,False,1857,False
2.52,False,0.001414062061612704,3,Sydney,True,False,864,False
1.27,False,0.0007130144792467872,3,Sydney,False,False,887,True
1.76,False,0.0009891363603153997,3,Sydney,True,False,596,True
1.11,False,0.0006270903010033446,4,New York,True,False,442,False
2.95,False,0.0016650486532860723,4,Sydney,False,False,1597,False
1.73,False,0.0009746204332272331,4,Tokyo,False,False,726,True
3.44,False,0.0019437334373004706,4,Tokyo,True,False,1183,False
2.69,False,0.0015074841826241431,4,New York,False,False,1158,False
1.39,False,0.0007783539214478503,0,Sydney,False,False,493,True
3.19,False,0.0017907464999045682,0,Tokyo,True,True,1396,False
2.34,False,0.0013136178382565933,0,London,False,False,1575,False
2.03,False,0.001140532735536865,0,New York,False,False,820,False
