candle_size,noisy_day,day_of_week,session,highest_of_day,highest_of_week,total_volume,success
0.79,False,1,New York,False,False,499,True
0.31,False,4,New York,False,False,348,True
1.71,False,2,New York,False,False,3755,True
1.32,False,0,London,False,False,5782,True
0.6,False,1,Sydney,True,False,1236,False
0.86,False,1,Sydney,False,False,1346,True
0.48,False,2,Sydney,False,False,2298,True
0.26,False,1,New York,False,False,1384,True
1.82,False,4,Tokyo,False,False,2476,False
4.76,False,2,Tokyo,True,True,4984,True
0.55,False,4,Sydney,False,False,1758,True
0.37,False,4,Sydney,False,False,653,True
0.06,False,0,Sydney,False,False,930,True
1.31,False,0,New York,False,False,2176,False
2.75,False,1,London,False,False,4419,True
1.21,False,3,New York,True,False,562,False
2.49,False,2,Tokyo,False,False,1974,False
0.54,False,0,London,False,False,6874,False
0.68,False,1,Sydney,False,False,2201,True
0.03,False,3,New York,True,False,610,True
0.94,False,4,Sydney,False,False,939,True
2.33,False,4,London,False,False,6280,False
0.14,False,0,New York,True,True,871,True
0.66,False,0,London,False,False,991,True
0.34,False,4,Sydney,True,False,414,True
1.86,False,1,London,False,False,4121,True
0.11,False,1,New York,True,False,300,True
0.27,False,2,Tokyo,False,False,2362,False
1.4,False,3,London,False,False,3050,True
0.55,False,3,Sydney,True,False,1077,True
0.64,False,3,Sydney,False,False,2311,True
1.25,False,4,Sydney,False,False,1847,True
1.05,False,4,Tokyo,False,False,2480,True
0.66,False,4,London,False,False,2010,True
1.04,False,2,Tokyo,True,True,3281,True
0.81,False,0,London,False,False,1322,False
1.45,False,0,Tokyo,False,False,1058,True
0.42,False,1,Sydney,False,False,1269,True
1.77,False,2,Tokyo,False,False,1874,False
0.81,False,3,Tokyo,True,True,2641,False
0.59,False,1,Sydney,False,False,918,True
1.76,False,0,Tokyo,False,False,3141,True
2.6,False,0,Sydney,True,True,2343,True
1.9,False,0,London,False,False,3892,False
1.24,False,1,Tokyo,True,False,2816,False
0.41,False,4,Tokyo,False,False,2026,True
0.81,False,0,New York,False,False,1749,True
1.43,False,3,Tokyo,False,False,1554,True
3.06,True,4,New York,False,False,8492,True
2.16,True,3,London,False,False,12385,True
0.36,True,1,New York,True,False,959,True
0.39,True,2,New York,True,False,778,True
2.53,False,2,London,False,False,6010,True
0.28,False,2,New York,True,False,786,True
0.07,False,1,New York,True,False,679,True
1.1,False,2,Tokyo,False,False,3114,False
0.79,False,4,Sydney,True,False,1861,True
0.4,False,1,Tokyo,False,False,1602,True
2.73,False,0,London,False,False,2764,True
1.42,False,1,New York,False,False,882,True
1.51,False,2,New York,False,False,852,False
2.12,False,0,Tokyo,False,False,1235,True
3.37,False,2,London,False,False,3030,False
4.0,False,4,London,False,False,4071,False
1.67,False,4,London,False,False,3965,False
2.99,False,4,New York,False,False,1618,True
1.86,False,3,Tokyo,False,False,1322,False
0.72,False,3,Sydney,False,False,1097,False
0.56,False,0,Sydney,False,False,1203,True
0.48,False,0,Sydney,False,False,897,True
0.33,False,3,Sydney,False,False,488,True
0.98,False,1,Tokyo,False,False,1632,True
1.14,False,4,Sydney,True,False,608,False
2.11,False,1,New York,False,False,1973,True
0.14,False,1,New York,False,False,576,False
0.9,False,2,Tokyo,False,False,2165,True
0.48,False,2,New York,False,False,1175,False
2.28,False,3,London,False,False,2849,True
3.63,True,4,Tokyo,False,False,2055,True
1.19,False,1,London,False,False,2142,False
1.37,False,2,New York,True,False,587,False
0.95,False,4,New York,True,False,723,False
1.0,False,0,New York,True,True,1048,True
1.16,False,0,New York,False,False,1098,False
1.44,False,4,New York,False,False,2695,False
1.81,False,4,Sydney,False,False,2527,True
2.59,False,4,London,True,False,6964,False
2.87,False,2,Sydney,True,False,3733,True
2.22,False,4,London,False,False,5597,True
0.93,False,2,London,False,False,3916,True
0.14,False,4,New York,True,False,775,True
0.18,False,0,Sydney,False,False,1938,False
1.13,False,1,New York,True,False,848,True
2.04,False,3,Sydney,True,False,2098,False
1.37,False,3,Tokyo,True,False,4989,True
4.63,False,1,New York,False,False,6702,True
3.46,False,4,London,False,False,2677,True
2.06,False,2,Sydney,False,False,2105,False
1.52,False,2,London,False,False,2689,True
0.24,False,3,New York,False,False,436,False
1.69,False,1,London,False,False,2595,False
2.68,False,3,London,True,False,2886,True
1.42,False,3,New York,False,False,1081,True
1.28,False,4,New York,False,False,1294,True
2.19,False,0,Tokyo,False,False,2485,False
0.93,False,1,Tokyo,False,False,1814,False
3.43,False,1,London,True,True,2810,True
4.32,True,2,London,False,False,3131,True
2.95,True,0,New York,False,False,1672,False
1.03,False,3,Tokyo,False,False,2412,False
1.99,False,1,Sydney,False,False,1366,False
0.63,False,1,London,True,False,2064,True
0.94,False,0,New York,True,True,2091,True
4.51,False,2,New York,False,False,2145,True
0.53,False,4,New York,False,False,1468,True
1.06,False,1,London,True,True,1864,False
2.79,False,3,Sydney,True,True,2695,True
3.71,False,3,Tokyo,False,False,2648,True
0.57,False,4,New York,False,False,1021,False
0.15,False,2,Tokyo,False,False,1621,True
0.51,False,4,New York,True,False,665,True
1.34,False,1,New York,True,False,512,True
2.55,False,4,Tokyo,True,True,1716,False
1.3,False,1,New York,False,False,1785,False
2.46,False,2,Tokyo,True,False,1851,False
1.99,False,1,Sydney,True,True,1711,False
0.68,False,2,Sydney,True,True,1705,False
1.42,False,3,Sydney,False,False,1311,False
0.81,False,4,New York,True,False,623,False
0.45,False,3,Sydney,False,False,812,False
0.06,False,2,New York,True,False,580,True
0.95,False,2,New York,False,False,1937,True
2.9,False,4,London,True,False,2993,True
2.27,False,3,New York,False,False,1388,True
2.61,False,0,Tokyo,False,False,2053,True
2.16,False,1,Sydney,False,False,1787,False
1.56,False,0,Tokyo,False,False,1811,False
1.83,False,0,Tokyo,False,False,1851,True
0.78,False,1,New York,False,False,597,True
2.93,False,2,Tokyo,True,True,2161,True
2.12,False,4,New York,True,True,1062,False
3.11,False,0,New York,True,True,650,True
3.01,False,2,London,False,False,2216,True
2.53,False,3,New York,False,False,1757,False
2.76,False,0,London,False,False,3004,True
9.42,True,2,Tokyo,True,True,2719,False
5.47,True,2,London,False,False,2553,True
2.91,True,3,Tokyo,False,False,1746,True
4.21,True,3,London,False,False,2453,True
8.71,True,2,Sydney,False,False,1945,False
1.61,False,1,Sydney,False,False,1711,False
1.16,False,1,London,False,False,2328,False
7.33,True,3,New York,False,False,1443,False
1.52,True,1,New York,True,True,1310,True
2.65,True,2,New York,True,True,2847,True
6.77,True,2,Sydney,False,False,2244,True
1.21,True,2,London,False,False,1966,True
2.71,False,2,London,False,False,2184,True
2.87,False,2,New York,False,False,2358,False
2.67,True,4,London,True,True,2234,False
1.6,False,1,New York,False,False,1950,True
2.72,False,2,New York,False,False,922,True
0.87,False,4,New York,True,False,895,True
0.92,False,1,Sydney,False,False,971,True
2.94,False,2,London,False,False,2048,False
1.58,False,3,New York,True,False,687,False
1.22,False,3,Sydney,False,False,1780,False
6.63,False,4,Sydney,True,False,2400,False
1.28,False,0,Tokyo,False,False,2068,True
4.74,False,0,New York,True,True,1954,True
0.79,False,1,London,False,False,2602,True
0.56,False,1,New York,False,False,1556,False
3.54,False,2,New York,False,False,2645,False
4.16,False,2,London,False,False,2354,True
2.04,False,2,Tokyo,False,False,1422,True
4.54,False,2,London,False,False,1500,True
3.58,True,4,Sydney,False,False,1793,False
4.75,True,4,London,False,False,2510,False
2.57,False,0,New York,True,True,1626,True
1.05,False,2,Sydney,False,False,1019,True
1.6,False,0,Sydney,False,False,2164,True
1.06,False,2,Sydney,False,False,1593,False
1.09,False,2,Tokyo,False,False,1755,False
8.22,False,4,Sydney,True,False,2197,False
3.25,False,0,Sydney,False,False,2292,False
1.03,False,1,New York,True,False,873,False
2.04,False,2,Tokyo,False,False,1602,True
2.25,False,3,Tokyo,False,False,1932,True
0.82,False,0,New York,False,False,1690,True
2.5,False,2,New York,False,False,2226,False
2.57,False,2,New York,True,False,617,False
3.41,False,3,New York,False,False,2048,False
0.73,False,2,New York,True,False,414,True
1.12,False,1,Sydney,True,False,561,True
2.25,False,4,Tokyo,False,False,1110,False
1.14,False,0,Tokyo,False,False,1130,True
1.0,False,1,New York,True,False,623,True
0.67,False,2,New York,False,False,1253,False
1.65,False,3,London,True,True,2290,False
4.79,True,1,Sydney,True,True,2870,True
1.84,False,3,Sydney,False,False,2043,False
1.79,False,4,London,False,False,2400,False
1.29,False,0,Tokyo,False,False,1181,False
2.94,False,0,Sydney,False,False,2087,False
2.73,False,0,London,False,False,2447,True
7.46,False,3,London,False,False,3124,False
5.4,False,4,Sydney,True,False,2655,True
0.22,False,4,New York,False,False,2414,True
1.73,True,3,New York,True,False,1554,True
2.86,True,3,Sydney,False,False,1545,True
2.77,True,3,London,True,True,2544,True
3.52,True,0,Tokyo,False,False,2214,False
3.99,True,3,London,False,False,2544,True
2.95,True,4,Tokyo,False,False,2954,True
10.88,True,4,New York,False,False,2810,True
2.54,True,3,London,True,False,2885,True
10.33,True,4,Sydney,True,False,2484,True
