candle_size,noisy_day,percentage,day_of_week,session,highest_of_day,highest_of_week,volume,success
4.44,False,0.0022962825048097814,3,Tokyo,False,False,2470,False
5.04,False,0.0025997204268906004,4,Sydney,False,False,2360,False
11.24,False,0.0056389751513844085,0,Tokyo,False,False,4669,False
5.15,True,0.0025860683726348773,1,Sydney,False,False,1347,True
24.69,True,0.012095292682568377,1,London,True,True,8887,True
7.36,False,0.00370247401728492,3,Tokyo,False,False,2242,False
8.35,False,0.004174624283814456,3,Tokyo,True,False,3068,False
4.29,False,0.002155789727586571,4,London,False,False,2610,False
4.96,False,0.0024973817771690968,4,New York,False,False,1779,False
3.8,False,0.0019131721905318113,4,New York,False,False,588,False
3.91,False,0.0020387838211293093,1,New York,False,False,458,True
3.21,False,0.0016599355676100548,3,Sydney,True,False,1727,True
5.3,False,0.002727937164798287,3,New York,False,False,618,False
4.59,False,0.0023866100258419427,0,Sydney,False,False,986,True
9.09,False,0.004708624708624708,0,London,True,True,4993,False
2.67,False,0.0013783063866691443,1,Sydney,False,False,1002,False
1.62,False,0.0008322544849269466,3,New York,True,False,536,False
2.3,False,0.001183091056860385,3,Tokyo,False,False,1586,False
10.71,False,0.0054731656463036975,3,Tokyo,True,True,3358,False
3.3,False,0.0016860476998221984,4,New York,False,False,487,False
1.5,False,0.0007732397197779255,0,New York,False,False,2613,False
5.08,False,0.0026552372987664647,1,London,False,False,3694,True
2.35,False,0.001224136853291105,2,Tokyo,False,False,2113,True
3.48,False,0.0017896907640642438,3,London,False,False,2329,False
2.85,False,0.0014805656280195746,4,New York,False,False,1889,False
2.65,False,0.0013723885775839746,1,Tokyo,False,False,1136,False
6.02,False,0.003110644916265779,1,London,True,False,3796,False
2.9,False,0.0015006157699193807,3,New York,False,False,1916,True
4.5,False,0.002301590143056614,1,Sydney,True,False,1765,True
1.82,False,0.00092893162654907,1,Sydney,True,False,1384,False
3.33,False,0.001702018911321237,1,Tokyo,False,False,1834,False
5.3,False,0.002691051998233045,2,Sydney,True,False,2185,False
3.61,False,0.0018234165067178502,3,Sydney,True,False,2198,False
5.58,False,0.002818409568449976,1,Tokyo,True,False,3496,False
6.19,False,0.0031788419566054693,2,Tokyo,False,False,2773,True
4.0,False,0.0020429113529691163,2,New York,True,False,2424,False
6.77,False,0.003477233621818742,3,New York,False,False,4291,True
3.27,False,0.0017229297181666342,0,London,False,False,3344,True
4.67,False,0.002453001644088896,1,Sydney,True,False,1791,False
1.83,False,0.0009653680795505499,4,Sydney,True,False,800,True
1.97,False,0.0010344465448435202,4,Sydney,False,False,1847,True
7.7,False,0.004014807862766568,4,Tokyo,True,False,3554,False
3.4,False,0.0017729017186717837,4,Tokyo,False,False,2282,False
1.76,False,0.0009300605067772876,0,Sydney,False,False,1954,False
1.44,False,0.000772859742058061,0,New York,False,False,572,False
2.71,False,0.0014550648067609504,1,Sydney,False,False,1307,False
7.36,False,0.003885647915951746,3,Sydney,True,False,1291,True
3.88,False,0.002067139409373518,4,Tokyo,False,False,3489,True
4.47,False,0.0023753600238067404,4,Tokyo,True,False,3210,False
5.8,False,0.0031187155193736758,1,Sydney,True,False,3128,True
4.84,False,0.0026207210231641415,1,New York,False,False,3348,False
2.6,False,0.0014256027283842986,4,Sydney,True,False,1872,False
4.62,False,0.0025291232372777438,4,Tokyo,False,False,3552,False
2.56,False,0.001414513125687227,4,New York,False,False,2192,True
8.25,False,0.004566538619078722,0,Tokyo,False,False,2008,False
8.5,False,0.004662285946224645,0,New York,True,True,2121,False
1.97,False,0.0010785891834477622,1,Sydney,True,False,669,False
2.7,False,0.0014859822342568438,2,Sydney,True,False,1576,False
5.96,False,0.003282769864613283,2,Tokyo,False,False,2709,False
9.5,False,0.005210675852082625,3,Tokyo,True,False,2969,True
