noisy_day,highest_of_day,highest_of_week,total_volume,session,day_of_week,maximum_movement
False,True,False,6209,Sydney,4,3.75
True,False,False,5389,New York,2,5.39
False,False,False,11151,London,4,5.47
False,False,False,7959,New York,3,3.09
False,False,False,5329,New York,4,1819.75
True,True,False,12285,London,0,11.02
False,False,False,1095,New York,3,2.33
False,False,False,6556,Sydney,1,8.91
False,False,False,3963,New York,4,15.51
False,False,False,7536,Sydney,4,6.22
False,True,False,6449,Tokyo,2,6.8
False,True,False,5138,Sydney,3,3.29
False,False,False,5407,New York,2,13.82
False,False,False,7235,London,0,173.29
True,True,False,10565,London,3,49.91
True,False,False,5820,New York,3,324.59
True,True,False,9441,Tokyo,2,39.99
True,False,False,7645,Tokyo,1,73.09
True,False,False,7134,New York,2,50.34
True,True,False,6586,New York,3,18.17
False,True,False,7156,Tokyo,0,5.84
True,True,False,8270,Tokyo,1,5.2
False,True,False,3952,New York,1,4.3
True,True,False,9832,London,0,8.54
True,False,False,5455,New York,0,18.1
True,False,False,7626,Tokyo,1,9.21
False,True,False,3060,New York,2,15.44
False,True,False,9942,London,3,18.02
True,False,False,6130,London,0,160.89
False,False,False,2991,Sydney,4,16.5
True,False,False,5652,New York,2,5.23
False,False,False,5343,London,1,9.42
False,False,False,4791,New York,1,8.11
True,True,False,7909,New York,2,1105.67
False,False,False,5404,New York,2,6.4
True,False,False,5015,New York,0,15.82
False,False,False,4746,New York,1,5.43
False,False,False,4177,New York,1,1.99
False,False,False,3327,New York,3,2.11
True,True,False,8257,London,4,1047.88
True,False,False,9577,Sydney,3,31.5
True,False,False,11155,London,0,49.28
True,False,False,11447,London,2,51.45
True,False,False,8411,Tokyo,3,27.24
True,True,False,8219,New York,2,96.22
