candle_size,noisy_day,day_of_week,session,lowest_of_day,lowest_of_week,total_volume,success
0.84,False,3,Sydney,False,False,1286,True
1.4,False,0,London,False,False,1953,False
0.69,False,0,New York,False,False,761,True
1.3,False,1,Sydney,False,False,723,True
0.55,False,2,London,False,False,1570,True
2.77,False,1,London,False,False,9287,False
0.14,True,4,New York,False,False,4247,True
1.02,True,4,New York,False,False,3720,True
0.36,False,3,Sydney,False,False,940,True
1.1,False,4,New York,False,False,1639,True
0.4,False,3,London,False,False,4480,False
0.11,False,0,New York,True,False,1846,True
0.82,False,3,London,True,False,3597,False
0.41,True,3,New York,False,False,496,True
1.09,False,1,London,False,False,1477,False
0.26,False,2,Sydney,False,False,566,True
1.39,False,1,Tokyo,False,False,2651,True
5.05,False,2,New York,False,False,2252,True
2.99,False,1,London,False,False,2619,True
0.17,False,4,Sydney,True,False,1912,True
1.5,False,4,London,False,False,2391,True
0.28,False,1,Sydney,False,False,1170,False
3.06,False,1,Sydney,True,False,2238,False
1.14,False,2,Tokyo,False,False,1645,False
0.79,False,2,Sydney,False,False,385,False
0.77,False,3,New York,False,False,452,False
3.5,False,4,London,False,False,2629,False
0.64,False,4,London,True,False,2909,True
0.88,False,0,Tokyo,False,False,1869,False
0.44,False,2,London,False,False,1937,True
2.07,False,2,London,False,False,2295,True
3.14,False,3,London,False,False,2929,True
2.07,True,4,London,False,False,8082,True
0.42,False,0,Sydney,False,False,1327,True
2.32,False,2,Tokyo,False,False,3684,False
1.87,False,2,Sydney,False,False,3840,True
0.32,False,1,New York,True,False,477,True
3.28,False,4,London,True,False,7590,False
1.28,False,3,London,False,False,3397,True
0.55,False,1,London,False,False,3186,True
0.06,False,1,New York,True,False,671,True
0.08,False,0,Sydney,False,False,1543,True
0.21,False,2,New York,False,False,517,True
1.62,False,2,Tokyo,False,False,1889,True
1.28,False,3,London,False,False,2874,True
1.12,False,2,Tokyo,False,False,1778,True
1.18,False,2,Tokyo,False,False,2231,True
4.21,False,4,London,False,False,3084,False
2.49,False,3,London,False,False,2902,True
1.44,True,0,New York,False,False,1381,False
0.54,False,1,New York,True,False,905,False
1.53,False,2,New York,False,False,1682,False
2.25,False,3,Sydney,True,False,2178,True
0.68,False,1,Tokyo,False,False,1993,True
0.92,False,2,London,False,False,2668,True
2.43,False,1,London,False,False,2586,False
0.86,False,1,London,False,False,2053,True
0.88,False,4,London,False,False,2123,True
1.17,False,3,Tokyo,False,False,1424,True
1.25,False,4,Tokyo,False,False,1398,True
1.54,False,4,London,True,False,2584,True
0.78,False,1,New York,False,False,1242,False
0.55,False,4,Sydney,False,False,1017,True
2.0,False,0,London,False,False,2135,False
1.4,False,1,Sydney,False,False,1574,True
1.53,False,1,New York,False,False,2031,True
0.25,False,4,Sydney,False,False,1566,True
1.71,False,3,London,False,False,2541,True
0.33,False,4,Sydney,False,False,1743,False
2.02,True,0,Tokyo,False,False,2139,True
3.39,False,2,Sydney,True,False,2462,True
0.69,False,4,New York,False,False,1675,True
0.79,True,0,London,False,False,2383,False
1.42,False,2,Tokyo,False,False,1945,False
1.0,False,0,New York,False,False,741,False
1.38,False,1,Tokyo,False,False,1637,True
1.63,False,2,Sydney,True,False,662,False
1.41,False,0,New York,True,False,1127,False
0.18,False,0,New York,False,False,682,False
8.31,False,1,London,False,False,3200,True
3.0,False,2,London,False,False,3213,True
1.71,False,4,Tokyo,False,False,1616,True
1.8,True,3,New York,False,False,1959,True
1.56,False,0,New York,True,False,1434,True
1.49,False,1,Tokyo,False,False,1647,True
0.72,False,4,London,False,False,1980,False
0.2,False,1,New York,False,False,437,True
0.29,False,2,New York,True,False,612,False
1.22,False,3,Sydney,False,False,1623,False
1.07,False,4,New York,True,False,591,False
1.77,False,0,New York,False,False,1852,False
0.47,False,1,New York,True,False,693,False
2.99,False,2,Sydney,False,False,1588,False
1.81,False,2,London,False,False,2210,True
13.42,True,1,London,False,False,2301,False
15.81,True,2,New York,False,False,2213,True
6.97,True,4,Tokyo,False,False,2209,True
10.24,True,0,Tokyo,False,False,2116,False
1.71,False,1,Tokyo,True,False,1650,True
1.82,True,2,New York,True,False,1024,False
0.38,True,0,London,False,False,2507,True
20.74,True,2,Sydney,True,False,2561,False
8.31,True,2,Tokyo,False,False,2039,True
4.42,True,3,Sydney,False,False,1997,False
2.48,True,2,Tokyo,False,False,1985,False
1.9,False,0,London,False,False,1817,False
3.03,False,0,Tokyo,False,False,1651,False
3.69,False,1,Tokyo,False,False,2434,True
4.52,False,1,London,False,False,2456,True
1.79,False,2,London,False,False,2226,True
6.36,False,3,London,False,False,1892,True
1.64,False,3,London,False,False,1318,True
4.3,False,0,New York,True,False,2057,False
2.06,False,2,Sydney,False,False,1741,True
0.65,False,2,London,True,False,2099,True
1.5,False,3,London,False,False,2483,False
3.11,True,4,London,False,False,2459,False
1.94,False,1,Sydney,False,False,1523,True
2.19,False,4,London,False,False,1557,False
2.58,False,0,Tokyo,False,False,1706,False
1.07,True,1,London,False,False,1793,False
0.34,False,2,Tokyo,False,False,1494,True
2.19,False,0,London,False,False,2011,False
1.46,False,4,Sydney,False,False,1059,False
1.24,False,4,Tokyo,True,False,1673,True
3.59,False,3,New York,False,False,1593,True
2.3,True,2,London,False,False,1576,False
1.6,False,1,Sydney,False,False,1320,False
3.16,False,3,Tokyo,False,False,1868,False
5.62,False,3,London,False,False,2725,True
14.29,False,4,New York,True,False,2702,False
1.17,False,2,London,False,False,1794,False
0.35,False,3,New York,False,False,1292,False
0.47,False,1,New York,False,False,555,False
1.31,True,4,Tokyo,True,False,1403,True
1.79,False,4,New York,False,False,2295,False
1.03,False,4,New York,False,False,2032,True
0.47,False,0,Tokyo,False,False,2135,True
1.74,False,0,London,False,False,2016,False
0.4,False,2,Tokyo,False,False,2333,True
1.11,False,3,London,False,False,2158,False
1.71,True,4,Tokyo,False,False,1829,True
2.3,False,2,New York,True,False,1993,True
0.53,True,0,New York,False,False,1044,False
3.67,True,2,Sydney,True,False,2091,True
8.43,False,1,Tokyo,False,False,2308,False
4.38,False,3,London,False,False,2738,True
2.11,False,4,London,False,False,2684,True
1.89,False,4,New York,False,False,1868,False
2.07,True,0,New York,True,False,1887,True
3.8,False,2,Sydney,False,False,1848,True
2.7,False,2,Sydney,False,False,1876,True
4.64,False,2,Tokyo,True,False,2157,True
9.43,False,2,London,False,False,2559,False
5.0,True,0,New York,False,False,2291,True
5.71,True,4,New York,False,False,1905,True
0.54,True,0,New York,True,False,3028,True
5.83,True,0,Tokyo,False,False,2583,True
3.73,True,1,Sydney,False,False,2922,True
5.9,True,3,Tokyo,False,False,2622,True
0.94,True,1,New York,True,False,2397,True
12.51,True,2,London,False,False,2965,False
6.47,True,3,New York,True,False,2775,True
11.35,True,3,London,False,False,2610,False
5.8,True,3,London,False,False,2239,True
