noisy_day,is_highest_day,is_highest_week,volume,session,weekday,target
0,1,0,0.06649202807153715,0,4,14.66
0,0,0,0.018919181139031727,3,4,8.71
0,0,0,0.17796966462921637,2,1,22.68
0,1,0,0.013453639921089229,0,2,1.7
0,1,0,0.08712525468128457,1,3,2.93
0,0,0,0.0647456421202419,2,4,3.57
0,0,0,0.011189806280521328,3,2,1.02
0,0,0,0.0704375667022412,1,0,2.32
0,1,1,0.09912357297629443,3,0,1.65
0,0,0,0.1033925164127939,3,4,5.72
0,1,1,0.10585039293683904,1,0,2.23
0,0,0,0.1107338055043498,2,1,2.09
0,1,0,0.07021118333818441,0,2,8.78
0,0,0,0.13110830826946088,2,3,8.76
0,1,0,0.080042689434365,0,4,39.0
0,0,0,0.1688496491057857,3,2,3.31
0,0,0,0.12784191973092718,2,0,1.29
0,0,0,0.0770673652210472,0,3,4.42
0,0,0,0.0585686103295495,3,4,0.6
0,0,0,0.10640018110669125,2,0,3.56
0,0,0,0.09094143138967045,0,1,3.62
0,0,0,0.07315416707092268,1,1,1.46
0,0,0,0.07237799553701368,3,1,2613.66
0,0,0,0.008925972639953428,3,3,1.17
0,1,0,0.0651984088483555,0,0,1.71
0,0,0,0.18553733708482906,3,1,4.55
0,1,0,0.09611590828239708,3,3,2595.86
0,0,0,0.06122052973707189,3,3,3.29
0,0,0,0.025710682060735426,0,1,0.97
0,0,0,0.012903851751237025,3,4,7.17
0,1,0,0.03550984767633647,0,2,27.61
0,1,0,0.07988098703146729,0,3,3.22
0,0,0,0.25477830600562723,2,4,116.1
0,1,0,0.04644093011222147,0,1,18.41
0,0,0,0.08557291161346658,2,3,5.66
0,0,0,0.0636460657805375,2,0,1.51
0,0,0,0.09905889201513535,1,2,3.77
0,0,0,0.039067300540086024,0,0,1.3
0,0,0,0.013291937518191521,3,0,1.86
0,1,0,0.03580091200155234,0,4,2.13
0,0,0,0.04715242068497137,3,4,2.67
0,1,0,0.1035542188156916,1,1,5.36
0,0,0,0.08153035154102391,1,3,1.69
0,0,0,0.04838135894699395,3,0,13.06
0,0,0,0.01717279518773649,3,2,1.17
0,1,0,0.058989036577083535,1,3,9.76
0,1,1,0.09614824876297662,1,4,3.59
0,0,0,0.08851589534620485,1,2,2.57
0,0,0,0.06953203324601404,1,2,2.39
0,1,0,0.11619934672229229,1,4,2.87
0,0,0,0.0082791630283626,3,2,1.9
0,0,0,0.018628116813815855,3,1,1.4
0,0,0,0.11697551825620128,2,2,10.91
0,0,0,0.06529543029009412,1,3,3.95
0,0,0,0.1675236894020245,2,4,232.87
0,1,0,0.0510009378739368,0,1,11.95
0,0,0,0.2534523463018661,2,0,3.58
0,1,0,0.019533650270043012,3,1,2.77
0,0,0,0.08013971087610362,2,2,3.1
0,1,0,0.011092784838782704,3,1,7.7
0,0,0,0.015879175964554834,0,2,1.8
0,1,0,0.0555286051550726,0,2,12.67
0,0,0,0.14627599366126579,2,1,2.28
0,0,0,0.05594903140260664,3,0,2.9
0,0,0,0.027812813298405615,3,2,1.42
0,1,0,0.12037126871705313,1,1,86.34
0,0,0,0.07092267391093432,3,2,28.29
0,0,0,0.07515927686685424,0,4,3.58
0,0,0,0.21370589566960962,2,0,8.45
0,0,0,0.08990653601112512,3,1,6.18
0,0,0,0.0971508036609424,3,2,1.87
0,0,0,0.015038323469486758,3,2,4.6
0,0,0,0.133145758545972,2,1,26.48
0,0,0,0.009217036965169303,3,1,2.46
0,0,0,0.020794929012645128,3,2,4.58
0,0,0,0.05578732899970893,1,2,1.55
0,0,0,0.013130235115293813,3,2,4.9
0,1,0,0.08256524691956922,0,3,3.71
0,1,0,0.011092784838782704,3,2,33.23
0,0,0,0.00869958927589664,3,3,0.91
0,0,0,0.09107079331198861,2,2,1.44
0,0,0,0.06164095598460593,0,3,1.48
0,0,0,0.06775330681413926,2,0,1.0
0,0,0,0.06303159664952622,3,1,0.57
0,0,0,0.024125998512337894,3,2,5.55
0,0,0,0.14404450050127743,2,4,5.12
0,1,0,0.01051065618835096,0,1,1.48
0,1,0,0.01646130461498658,3,2,12.38
0,1,0,0.006726819960544614,3,4,2.58
0,0,0,0.35597166973901234,2,4,16.31
0,0,0,0.10387762362148702,3,0,1.66
0,0,0,0.04346560589890366,0,2,2.59
0,0,0,0.08421461142912584,3,0,34.41
0,1,0,0.0037838362278063446,3,1,1.6
0,0,0,0.10090229940816921,2,1,4.21
0,0,0,0.04657029203453963,3,2,0.86
0,0,0,0.015394068755861714,3,2,1.73
0,0,0,0.004948093528669835,3,4,0.96
0,0,0,0.047540506451925875,0,2,0.96
0,0,0,0.015652792600498042,3,3,4.05
0,1,0,0.010769380032987292,3,4,3.46
0,1,0,0.08340609941463731,1,1,5.13
0,1,0,0.040102195918631345,0,2,6.72
0,1,0,0.018045988163384107,3,3,1.05
0,0,0,0.012936192231816565,3,3,8.37
0,0,0,0.053523495359141034,3,3,0.82
0,1,0,0.02752174897318974,1,4,0.59
0,0,0,0.06542479221241228,3,4,4.83
0,0,0,0.05394392160667507,1,1,2.75
0,0,0,0.019598331231202096,3,2,5.49
0,0,0,0.06607160182400311,3,3,2.57
0,0,0,0.035251123831700135,0,0,0.54
0,0,0,0.007017884285760486,3,2,1.8
0,0,0,0.05087157595161864,3,4,1.76
0,0,0,0.007858736780828563,3,0,0.99
0,0,0,0.00685618188286278,3,2,1.64
0,0,0,0.043659648782380905,0,4,32.68
0,0,0,0.012451085023123445,3,1,1.36
0,0,0,0.04540603473367614,0,3,4.47
0,0,0,0.011513211086316744,3,3,1.41
0,0,0,0.0904239837003978,1,0,7.15
0,0,0,0.012192361178487113,3,0,1.88
0,0,0,0.014650237702532262,3,1,1.34
0,1,0,0.017593221435270527,0,1,4.27
0,0,0,0.10368358073800978,1,2,4.79
0,0,0,0.05753371495100417,3,4,4.55
0,1,0,0.017043433265418323,0,1,2.07
0,0,0,0.024902170046246886,0,2,1.08
0,0,0,0.012257042139646197,3,3,3.69
0,0,0,0.01714045470715695,3,0,1.86
0,0,0,0.01811066912454319,3,0,1.06
0,1,0,0.011060444358203164,3,2,6.67
