time,open,high,low,close,volume
2025-02-06 03:00:00,2869.82,2870.81,2863.75,2865.8,2227
2025-02-06 03:30:00,2865.71,2872.03,2865.71,2871.39,2219
2025-02-06 04:00:00,2871.76,2873.28,2868.31,2870.96,1953
2025-02-06 04:30:00,2870.96,2872.74,2869.83,2870.71,1999
2025-02-06 05:00:00,2870.59,2870.8,2864.37,2865.07,1923
2025-02-06 05:30:00,2865.03,2869.88,2864.61,2869.42,1506
2025-02-06 06:00:00,2869.35,2872.25,2869.18,2869.86,1378
2025-02-06 06:30:00,2869.85,2870.48,2868.32,2868.5,1159
2025-02-06 07:00:00,2868.56,2869.98,2866.9,2868.7,1309
2025-02-06 07:30:00,2868.84,2869.84,2865.42,2868.36,1993
2025-02-06 08:00:00,2868.36,2870.14,2867.81,2869.09,1841
2025-02-06 08:30:00,2869.09,2871.39,2857.66,2859.06,2179
2025-02-06 09:00:00,2859.0,2861.73,2858.18,2860.91,2007
2025-02-06 09:30:00,2860.85,2861.55,2855.05,2855.88,2177
2025-02-06 10:00:00,2855.77,2856.97,2848.94,2851.52,2447
2025-02-06 10:30:00,2851.38,2858.56,2850.95,2856.07,2265
2025-02-06 11:00:00,2856.14,2859.96,2855.81,2856.52,2187
2025-02-06 11:30:00,2856.39,2859.97,2855.79,2859.43,1882
2025-02-06 12:00:00,2859.33,2861.24,2855.73,2860.39,2035
2025-02-06 12:30:00,2860.16,2861.79,2857.9,2859.17,1818
2025-02-06 13:00:00,2858.64,2862.3,2858.3,2860.2,2006
2025-02-06 13:30:00,2860.44,2867.33,2859.99,2866.07,2010
2025-02-06 14:00:00,2866.06,2870.3,2865.3,2867.24,2264
2025-02-06 14:30:00,2867.27,2868.72,2863.62,2864.42,2208
2025-02-06 15:00:00,2864.47,2864.96,2859.33,2860.59,2786
2025-02-06 15:30:00,2860.46,2863.77,2855.56,2856.69,2840
2025-02-06 16:00:00,2856.74,2859.8,2854.41,2857.67,2841
2025-02-06 16:30:00,2857.78,2858.32,2841.14,2841.91,3065
2025-02-06 17:00:00,2841.99,2847.71,2834.1,2844.92,3169
2025-02-06 17:30:00,2845.11,2853.28,2844.05,2850.56,2975
2025-02-06 18:00:00,2850.82,2854.71,2849.2,2850.68,2721
2025-02-06 18:30:00,2850.61,2853.87,2848.86,2848.86,2375
2025-02-06 19:00:00,2848.77,2851.95,2848.06,2851.05,2073
2025-02-06 19:30:00,2851.12,2852.61,2848.89,2852.2,2063
2025-02-06 20:00:00,2852.35,2852.68,2849.87,2851.83,2302
2025-02-06 20:30:00,2851.87,2853.6,2849.93,2852.57,1909
2025-02-06 21:00:00,2852.54,2852.66,2850.59,2851.5,1911
2025-02-06 21:30:00,2851.37,2854.17,2850.37,2853.81,1864
2025-02-06 22:00:00,2853.8,2857.27,2853.59,2854.48,2148
2025-02-06 22:30:00,2854.43,2856.62,2853.85,2856.42,2254
2025-02-06 23:00:00,2856.49,2856.87,2854.94,2855.59,740
2025-02-06 23:30:00,2855.6,2857.21,2855.39,2855.55,667
2025-02-07 01:00:00,2855.66,2858.01,2855.63,2857.61,815
2025-02-07 01:30:00,2857.57,2858.93,2856.76,2858.05,734
2025-02-07 02:00:00,2858.05,2860.33,2858.05,2859.82,657
2025-02-07 02:30:00,2859.8,2860.49,2858.03,2858.42,1059
2025-02-07 03:00:00,2858.38,2864.27,2857.73,2862.93,2105
2025-02-07 03:30:00,2862.82,2868.24,2862.45,2866.27,2083
2025-02-07 04:00:00,2866.17,2869.3,2865.51,2868.49,1714
2025-02-07 04:30:00,2868.59,2869.02,2867.25,2868.78,1598
2025-02-07 05:00:00,2868.75,2870.63,2867.13,2867.4,1767
2025-02-07 05:30:00,2867.44,2868.89,2866.05,2867.12,1353
2025-02-07 06:00:00,2867.19,2869.24,2866.97,2868.72,1200
2025-02-07 06:30:00,2868.53,2869.52,2866.17,2866.4,1081
2025-02-07 07:00:00,2866.6,2867.03,2864.95,2865.16,1107
2025-02-07 07:30:00,2865.09,2865.37,2862.04,2862.05,1898
2025-02-07 08:00:00,2861.92,2866.11,2860.52,2863.61,2073
2025-02-07 08:30:00,2863.61,2863.65,2859.02,2860.65,1937
2025-02-07 09:00:00,2860.61,2865.54,2860.07,2863.64,1809
2025-02-07 09:30:00,2863.8,2865.75,2863.42,2864.24,1621
2025-02-07 10:00:00,2864.25,2866.69,2863.3,2863.61,1644
2025-02-07 10:30:00,2863.71,2866.66,2863.35,2866.29,1736
2025-02-07 11:00:00,2866.13,2870.65,2865.54,2869.55,2171
2025-02-07 11:30:00,2869.51,2870.49,2867.71,2868.97,1629
2025-02-07 12:00:00,2868.98,2869.25,2863.47,2866.35,1917
2025-02-07 12:30:00,2866.4,2867.69,2865.04,2867.55,1722
2025-02-07 13:00:00,2867.42,2868.07,2865.06,2866.54,1758
2025-02-07 13:30:00,2866.07,2868.22,2864.97,2867.63,1486
2025-02-07 14:00:00,2867.74,2867.97,2864.26,2866.43,1822
2025-02-07 14:30:00,2866.42,2867.0,2863.49,2863.61,1798
2025-02-07 15:00:00,2863.63,2864.91,2860.36,2864.45,2509
2025-02-07 15:30:00,2865.49,2870.69,2852.39,2862.41,3301
2025-02-07 16:00:00,2862.52,2875.16,2856.18,2873.61,3173
2025-02-07 16:30:00,2873.88,2878.34,2871.2,2876.04,2988
2025-02-07 17:00:00,2874.1,2883.3,2873.35,2882.88,3018
2025-02-07 17:30:00,2883.08,2886.68,2878.62,2880.37,2792
2025-02-07 18:00:00,2880.48,2881.43,2865.34,2869.51,3020
2025-02-07 18:30:00,2869.64,2870.4,2860.46,2860.76,2827
2025-02-07 19:00:00,2860.71,2862.66,2855.65,2857.93,2796
2025-02-07 19:30:00,2857.96,2860.52,2853.25,2860.23,2314
2025-02-07 20:00:00,2860.17,2865.2,2859.81,2863.01,1931
2025-02-07 20:30:00,2862.89,2864.88,2860.57,2861.34,1747
2025-02-07 21:00:00,2861.46,2863.38,2860.32,2861.43,1685
2025-02-07 21:30:00,2861.43,2862.54,2859.1,2859.73,1447
2025-02-07 22:00:00,2859.67,2863.8,2859.4,2860.09,2006
2025-02-07 22:30:00,2860.05,2861.56,2859.67,2860.58,2107
2025-02-07 23:00:00,2860.65,2863.38,2859.98,2862.78,835
2025-02-07 23:30:00,2862.82,2862.91,2860.28,2861.3,530
2025-02-10 01:00:00,2857.21,2869.71,2854.81,2869.61,1640
2025-02-10 01:30:00,2869.5,2870.47,2866.68,2867.64,1466
2025-02-10 02:00:00,2867.64,2869.2,2865.86,2867.22,1441
2025-02-10 02:30:00,2867.18,2868.93,2865.93,2868.02,1226
2025-02-10 03:00:00,2868.03,2876.54,2867.79,2868.89,2433
2025-02-10 03:30:00,2868.79,2871.98,2866.03,2871.89,2358
2025-02-10 04:00:00,2871.96,2875.0,2871.23,2874.05,1774
2025-02-10 04:30:00,2874.02,2874.64,2871.96,2873.8,1947
2025-02-10 05:00:00,2873.76,2874.49,2871.28,2873.31,1674
2025-02-10 05:30:00,2873.42,2875.69,2872.47,2875.51,1097
2025-02-10 06:00:00,2875.61,2877.55,2874.3,2877.17,1339
2025-02-10 06:30:00,2877.26,2879.66,2875.75,2879.12,1247
2025-02-10 07:00:00,2879.41,2880.11,2877.87,2878.78,1372
2025-02-10 07:30:00,2879.02,2879.27,2876.03,2879.27,1915
2025-02-10 08:00:00,2879.45,2885.16,2878.86,2884.64,2155
2025-02-10 08:30:00,2884.83,2892.12,2884.1,2888.23,2155
2025-02-10 09:00:00,2888.18,2892.39,2886.62,2892.29,2081
2025-02-10 09:30:00,2892.44,2896.51,2891.0,2895.45,2145
2025-02-10 10:00:00,2895.5,2896.58,2892.23,2895.15,2346
2025-02-10 10:30:00,2895.0,2898.79,2894.38,2896.68,2215
2025-02-10 11:00:00,2896.79,2901.36,2896.23,2899.76,2153
2025-02-10 11:30:00,2899.63,2903.28,2899.33,2903.0,2004
2025-02-10 12:00:00,2903.06,2906.26,2901.45,2902.17,2351
2025-02-10 12:30:00,2901.92,2902.66,2898.17,2902.44,2120
2025-02-10 13:00:00,2902.41,2904.85,2898.31,2900.0,2134
2025-02-10 13:30:00,2900.06,2905.69,2899.56,2904.61,1854
2025-02-10 14:00:00,2904.54,2907.0,2903.97,2904.35,2278
2025-02-10 14:30:00,2904.34,2906.73,2902.73,2902.88,2092
2025-02-10 15:00:00,2902.65,2910.83,2901.26,2903.53,2928
2025-02-10 15:30:00,2903.51,2904.33,2899.79,2901.04,2868
2025-02-10 16:00:00,2900.96,2905.16,2896.36,2904.26,2626
2025-02-10 16:30:00,2904.32,2909.25,2901.78,2908.71,2976
2025-02-10 17:00:00,2908.72,2911.3,2904.53,2908.2,2696
2025-02-10 17:30:00,2908.32,2911.77,2905.13,2908.97,2667
2025-02-10 18:00:00,2909.15,2910.35,2904.58,2905.89,2376
2025-02-10 18:30:00,2905.72,2906.74,2899.01,2900.99,2242
2025-02-10 19:00:00,2901.0,2902.92,2898.08,2899.28,1938
2025-02-10 19:30:00,2899.18,2904.55,2896.59,2903.25,2339
2025-02-10 20:00:00,2903.18,2906.93,2900.92,2906.05,2182
2025-02-10 20:30:00,2906.13,2907.01,2904.51,2905.07,1845
2025-02-10 21:00:00,2905.08,2906.68,2903.65,2904.12,1589
2025-02-10 21:30:00,2904.25,2905.37,2902.51,2904.37,2087
2025-02-10 22:00:00,2904.33,2905.5,2903.04,2903.32,1993
2025-02-10 22:30:00,2903.25,2907.75,2902.92,2907.49,2268
2025-02-10 23:00:00,2907.31,2907.35,2905.33,2905.93,735
2025-02-10 23:30:00,2905.95,2908.3,2905.77,2907.88,634
2025-02-11 01:00:00,2907.9,2913.23,2907.87,2912.25,1059
2025-02-11 01:30:00,2912.26,2921.67,2911.4,2917.83,1582
2025-02-11 02:00:00,2917.96,2919.02,2916.42,2918.63,1047
2025-02-11 02:30:00,2918.51,2924.97,2917.54,2922.61,1630
2025-02-11 03:00:00,2922.6,2932.07,2919.62,2928.35,2653
2025-02-11 03:30:00,2928.21,2935.94,2927.47,2933.95,2438
2025-02-11 04:00:00,2933.96,2942.58,2933.78,2939.87,2458
2025-02-11 04:30:00,2939.95,2941.54,2906.31,2918.76,3414
2025-02-11 05:00:00,2918.46,2922.51,2911.15,2921.72,2847
2025-02-11 05:30:00,2922.09,2925.71,2916.58,2919.61,1863
2025-02-11 06:00:00,2919.61,2920.7,2917.94,2919.31,1457
2025-02-11 06:30:00,2919.31,2919.79,2914.64,2916.29,1632
2025-02-11 07:00:00,2916.11,2919.42,2915.21,2918.77,1592
2025-02-11 07:30:00,2919.13,2923.66,2917.88,2922.9,2000
2025-02-11 08:00:00,2922.61,2929.26,2920.88,2921.86,2308
2025-02-11 08:30:00,2921.7,2923.41,2915.34,2917.89,2243
2025-02-11 09:00:00,2917.78,2918.32,2910.76,2911.05,2328
2025-02-11 09:30:00,2910.96,2913.53,2907.31,2913.44,2399
2025-02-11 10:00:00,2913.05,2915.38,2909.05,2914.01,2439
2025-02-11 10:30:00,2913.88,2914.57,2907.02,2907.45,2300
2025-02-11 11:00:00,2907.26,2912.2,2904.8,2909.98,2482
2025-02-11 11:30:00,2909.88,2909.88,2902.99,2903.3,2245
2025-02-11 12:00:00,2903.01,2907.09,2901.82,2905.28,2297
2025-02-11 12:30:00,2905.26,2907.11,2901.96,2902.46,2318
2025-02-11 13:00:00,2902.63,2906.37,2902.1,2904.91,1966
2025-02-11 13:30:00,2904.93,2906.69,2902.83,2903.98,2151
2025-02-11 14:00:00,2903.98,2904.4,2898.21,2899.71,2680
2025-02-11 14:30:00,2899.72,2901.86,2886.89,2889.32,2736
2025-02-11 15:00:00,2889.04,2890.76,2881.81,2889.57,3276
2025-02-11 15:30:00,2889.86,2898.04,2887.96,2896.36,2992
2025-02-11 16:00:00,2896.47,2902.33,2894.88,2900.9,2969
2025-02-11 16:30:00,2901.84,2904.28,2895.8,2896.64,3128
2025-02-11 17:00:00,2896.15,2902.03,2890.91,2898.1,2979
